2025-08-25 22:03:55 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-25 22:03:55 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-25 22:03:55 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-25 22:03:55 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-25 22:03:55 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-25 22:03:55 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-25 22:03:56 | INFO     | DF | Running on device cpu
2025-08-25 22:03:56 | INFO     | DF | Model loaded
2025-08-25 22:11:02 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-25 22:11:02 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-25 22:11:03 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-25 22:11:03 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-25 22:11:03 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-25 22:11:03 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-25 22:11:03 | INFO     | DF | Running on device cpu
2025-08-25 22:11:03 | INFO     | DF | Model loaded
2025-08-26 20:26:08 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 20:26:08 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 20:26:08 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 20:26:08 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 20:26:08 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 20:26:08 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 20:26:08 | INFO     | DF | Running on device cpu
2025-08-26 20:26:08 | INFO     | DF | Model loaded
2025-08-26 20:35:02 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 20:35:02 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 20:35:02 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 20:35:02 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 20:35:02 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 20:35:02 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 20:35:02 | INFO     | DF | Running on device cpu
2025-08-26 20:35:02 | INFO     | DF | Model loaded
2025-08-26 20:38:35 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 20:38:35 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 20:38:35 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 20:38:35 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 20:38:35 | INFO     | DF | Initializing model `deepfilternet3`
